features,form_label,risk_exposure_label
harm_distribution_basis_disability,Disability,Risk of AI system may cause harm based on disabilities
harm_distribution_basis_familial_status,Familial Status,Risk of AI system may cause harm based on familial status
harm_distribution_basis_financial_means,Financial Means,Risk of AI system may cause harm based on financial status
harm_distribution_basis_geography,Geography,Risk of AI system may cause geographical harm
harm_distribution_basis_ideology,Ideology,Risk of AI system may cause harm based on certain ideology
harm_distribution_basis_nationality,Nationality,Risk of AI system may cause harm based on nationality
harm_distribution_basis_other,Other,Risk of AI system may cause other harm which yet to be characterized
harm_distribution_basis_race,Race,Risk of AI system may cause harm certain race group
harm_distribution_basis_religion,Religion,Risk of AI system may cause harm certain religion group
harm_distribution_basis_sex,Gender,Risk of AI system may cause harm certain gender
harm_distribution_basis_sexual_orientation_or_gender_identity,Sexual Orientation,Risk of AI system may cause harm certain sexual orientation group
sector_of_deployment_arts,Arts,Risk of AI system incident occurance in Arts sector
sector_of_deployment_education,Education,Risk of AI system incident occurance in Education industry sector
sector_of_deployment_accommodation_and_food_service_activities,Accommodation and Food Service Activities,Risk of AI system incident occurance in Accommodation and Food Service industry sector
sector_of_deployment_administrative_and_support_service_activities,Administrative and Support Service Activities,Risk of AI system incident occurance in Administrative and Support Service industry sector
sector_of_deployment_defense,Defense,Risk of AI system incident occurance in Defense sector
sector_of_deployment_entertainment_and_recreation,Entertainment and Recreation,Risk of AI system incident occurance in Entertainment and Recreation sector
sector_of_deployment_financial_and_insurance_activities,Financial and Insurance Activities,Risk of AI system incident occurance in Financial and Insurance Activities sector
sector_of_deployment_human_health_and_social_work_activities,Human Health and Social Work Activities,Risk of AI system incident occurance in Human Health and Social Work Activities sector
sector_of_deployment_information_and_communication,Information and Communication,Risk of AI system incident occurance in Information and Communication sector
sector_of_deployment_law_enforcement,Law Enforcement,Risk of AI system incident occurance in Law Enforcement sector
sector_of_deployment_manufacturing,Manufacturing,Risk of AI system incident occurance in Manufacturing sector
sector_of_deployment_other,Other,Risk of AI system incident occurance in Other sector
sector_of_deployment_other_service_activities,Other Service Activities,Risk of AI system incident occurance in Other Service Activities sector
sector_of_deployment_professional,Professional,Risk of AI system incident occurance in Professional sector
sector_of_deployment_public_administration,Public Administration,Risk of AI system incident occurance in Public Administration sector
sector_of_deployment_real_estate_activities,Real Estate Activities,Risk of AI system incident occurance in Real Estate sector
sector_of_deployment_scientific_and_technical_activities,Scientific and Technical Activities,Risk of AI system incident occurance in Scientific and Technical sector
sector_of_deployment_transportation_and_storage,Transportation and Storage,Risk of AI system incident occurance in Transportation and Storage sector
sector_of_deployment_wholesale_and_retail_trade,Wholesale and Retail Trade,Risk of AI system incident occurance in Wholesale and Retail Trade sector
